id,originalValue,adoptedValue,disposition,action,applicableSystems,modelOrComponent,unit,scope,direction,precision,density,conditions,source,auditDate,sourceAsOf,conclusion
"sys.gb300-nvl72:keySpecs.aiFactoryOutputVsHopper","50","50","non-spec","retained","[""sys.gb300-nvl72""]","NVIDIA GB300 NVL72","倍","NVIDIA GB300 NVL72 / aiFactoryOutputVsHopper；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 厂商营销口径，不是单卡算力比，不可直接换算成 token 产能。★ 官方自己给了拆解（GB300 NVL72 产品页）：「Compared to Hopper, the GB300 NVL72 delivers an impressive 10x boost in user responsiveness (TPS per user) and a 5x improvement in throughput (TPS per megawatt (MW)). Together, these advancements translate into a remarkable 50x leap in overall AI factory output.」——即 50 = 10（每用户 TPS）× 5（每兆瓦 TPS）。**因子里有功耗（TPS/MW），没有成本**；讲的时候别加「成本」二字。另：数据手册第 3 页把它画成帕累托前沿的最优交点（DeepSeek-R1，ISL 32K / OSL 8K，GB300 NVL72 用 FP4 Dynamo disaggregation vs H100 用 FP8 in-flight batching，标注「Projected performance subject to change」）。","{""id"":""src.nvidia-nvl72-ra"",""url"":""https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html"",""localFile"":null,""locator"":""System Hardware & Components，「can deliver up to a 50x overall increase in AI factory output performance compared to NVIDIA Hopper-based platforms」""}","2026-09-12","2026-08","保留厂商宣称、第三方推测或教学观点及证据标签，不作为官方硬件数学输入。"
"sys.vera-rubin-nvl72:keySpecs.gpuCount","72","72","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","张","NVIDIA Vera Rubin NVL72 / gpuCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 Configuration 行，「72 Rubin GPUs | 36 Vera CPUs」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.cpuCount","36","36","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","颗","NVIDIA Vera Rubin NVL72 / cpuCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 Configuration 行，「72 Rubin GPUs | 36 Vera CPUs」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.computeTrayCount","18","18","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","个","NVIDIA Vera Rubin NVL72 / computeTrayCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-rubin-pod-blog"",""url"":""https://developer.nvidia.com/blog/nvidia-vera-rubin-pod-seven-chips-five-rack-scale-systems-one-ai-supercomputer/"",""localFile"":null,""locator"":""NVIDIA Vera Rubin NVL72 节，「…across 18 compute trays, alongside 9 NVLink switch trays」""}","2026-09-12","2026-03","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.nvswitchTrayCount","9","9","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","个","NVIDIA Vera Rubin NVL72 / nvswitchTrayCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.nvidia-rubin-pod-blog"",""url"":""https://developer.nvidia.com/blog/nvidia-vera-rubin-pod-seven-chips-five-rack-scale-systems-one-ai-supercomputer/"",""localFile"":null,""locator"":""NVIDIA Vera Rubin NVL72 节，「…alongside 9 NVLink switch trays」（DGX 产品页规格表同口径：「9x L1 NVIDIA NVLink Switches」）""}","2026-09-12","2026-03","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.rackPowerKW","null","null","scope-conflict","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","kW","NVIDIA Vera Rubin NVL72 / rackPowerKW；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","★ NVIDIA 至今未在任何官方规格表中公布 Vera Rubin NVL72 的整机架功率。唯一提到该数字的 NVIDIA 博客（DSX MaxLPS）正文写「Vera Rubin NVL72 从 136 kW 降到 101 kW」，同页配图却把同一组数字标成 GB300 NVL72，且那是 provisioned power 而非铭牌规格——因此本项目取 null，tokens/W 一律不出数。","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":null}","2026-09-12","2026-08","原始资料存在配置、数量或范围差异；保留出处供对照，不作为已确认的统一配置。 ★ NVIDIA 至今未在任何官方规格表中公布 Vera Rubin NVL72 的整机架功率。唯一提到该数字的 NVIDIA 博客（DSX MaxLPS）正文写「Vera Rubin NVL72 从 136 kW 降到 101 kW」，同页配图却把同一组数字标成 GB300 NVL72，且那是 provisioned power 而非铭牌规格——因此本项目取 null，tokens/W 一律不出数。"
"sys.vera-rubin-nvl72:keySpecs.nvlinkAggregateBandwidthTBs","260","216","reviewed","corrected","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB/s","NVIDIA Vera Rubin NVL72 / nvlinkAggregateBandwidthTBs；适用范围见限定条件与来源位置","bidirectional aggregate","not applicable / unspecified","not applicable / unspecified","整架双向合计，DSX MaxLPS。 Preliminary information; up to，规格随配置而变。","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""Rack Specifications / NVLink""}","2026-09-12","2026-09","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.c2cAggregateBandwidthTBs","65","65","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB/s","NVIDIA Vera Rubin NVL72 / c2cAggregateBandwidthTBs；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","= 36 个超级芯片 × 1.8 TB/s ≈ 64.8 TB/s，官方取整为 65 TB/s；不是 GPU↔GPU 的 NVLink 6，而是 CPU↔GPU 的 NVLink-C2C 在整机架尺度上的聚合值。
⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 NVLink-C2C Bandwidth 行：整机架列「65 TB/s」，Vera Rubin Superchip 列「1.8 TB/s」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.gpuMemoryTotalTB","20.7","20.7","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB","NVIDIA Vera Rubin NVL72 / gpuMemoryTotalTB；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 GPU Memory | Bandwidth 行，「20.7 TB HBM4」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.gpuMemoryBandwidthTBs","1580","1400","reviewed","corrected","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB/s","NVIDIA Vera Rubin NVL72 / gpuMemoryBandwidthTBs；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","整架；网页取整，DSX MaxLPS。 Preliminary information; up to，规格随配置而变。","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""Rack Specifications / HBM bandwidth""}","2026-09-12","2026-09","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.cpuMemoryTB","54","54","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB","NVIDIA Vera Rubin NVL72 / cpuMemoryTB；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 CPU Memory 行，「54 TB LPDDR5X」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.fastMemoryTB","75","75","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB","NVIDIA Vera Rubin NVL72 / fastMemoryTB；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","= 20.7 TB HBM4 + 54 TB LPDDR5X。对照 GB300 的 37 TB，「快内存」翻了一倍。
⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-datasheet"",""url"":""https://dam-cdn.nvd.orangelogic.com/AssetLink/56p68o47y6f1yucpubl0ump1c0aif422.pdf"",""localFile"":null,""locator"":""数据手册第 1 页 Key Features，「75 TB of fast-access memory」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.fp4DensePflops","2520","2520","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","PFLOPS","NVIDIA Vera Rubin NVL72 / fp4DensePflops；适用范围见限定条件与来源位置","not specified / not applicable","FP4","dense","稠密口径，可与 GB300 的 1080 PFLOPS 稠密值直接对比（2.33×）。
⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 NVFP4 Training² 行，「2,520 PFLOPS」+ 脚注 2「Dense specification」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.fp4InferencePflops","3600","3600","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","PFLOPS","NVIDIA Vera Rubin NVL72 / fp4InferencePflops；适用范围见限定条件与来源位置","not specified / not applicable","FP4","dense","⚠️ **这一列是稀疏口径，官方已明说**：Vera Rubin 数据手册 PDF 的 Technical Specifications¹ 脚注 1 比产品页多出后半句，逐字为「Preliminary information. All values are up to and subject to change. NVFP4 Inference specification is sparse.」（产品页脚注 1 只有前半句，且该行也没有脚注 2「Dense specification.」）。因此本项目不让它进 mathSpecs，产能估算只用上面带脚注 2 的稠密值——这不是保守处理，是有硬证据的排除。","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 NVFP4 Inference 行，「3,600 PFLOPS」（发布稿口径：单卡 50 PFLOPS）""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.fp8DensePflops","1260","1260","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","PFLOPS","NVIDIA Vera Rubin NVL72 / fp8DensePflops；适用范围见限定条件与来源位置","not specified / not applicable","FP8","dense","GB300 产品页给的 720 PFLOPS 是含稀疏口径（稠密 360），因此稠密对稠密是 360 → 1260（3.5×）。
⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 FP8/FP6 Training² 行，「1,260 PFLOPS」+ 脚注 2「Dense specification」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.cpuCoreCount","3168","3168","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","核","NVIDIA Vera Rubin NVL72 / cpuCoreCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 CPU Core Count 行，「3,168 custom NVIDIA Olympus cores (Arm compatible)」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.scaleOutBandwidthTBs","28.8","32.4","reviewed","corrected","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","TB/s","NVIDIA Vera Rubin NVL72 / scaleOutBandwidthTBs；适用范围见限定条件与来源位置","bidirectional aggregate","not applicable / unspecified","not applicable / unspecified","整架双向合计，DSX MaxLPS。 Preliminary information; up to，规格随配置而变。","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""Rack Specifications / Scale-out bandwidth""}","2026-09-12","2026-09","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.totalChipCount","1296","1296","reviewed","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","颗","NVIDIA Vera Rubin NVL72 / totalChipCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","⚠️ 官方规格表脚注 1：「Preliminary information. All values are up to and subject to change.」（预发布口径，不是量产验收值）","{""id"":""src.nvidia-vera-rubin-page"",""url"":""https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72/"",""localFile"":null,""locator"":""规格表 Total NVIDIA + HBM4 Chips 行，「1,296」""}","2026-09-12","2026-08","已按所列官方位置核验并采纳；限定条件随值展示。"
"sys.vera-rubin-nvl72:keySpecs.availability","官方最新口径：量产出货「今年秋季开始」（2026-05-31 发布稿）；CES 2026-01 发布稿的原口径为「2026 下半年由合作伙伴上市」","官方最新口径：量产出货「今年秋季开始」（2026-05-31 发布稿）；CES 2026-01 发布稿的原口径为「2026 下半年由合作伙伴上市」","non-spec","retained","[""sys.vera-rubin-nvl72""]","NVIDIA Vera Rubin NVL72","null","NVIDIA Vera Rubin NVL72 / availability；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","★ 三点口径纪律：① **evidence 是 vendor_claim 不是 verified_spec**——这是发布稿里的前瞻性上市承诺（两篇发布稿末尾都带 Safe Harbor 声明），不是「官方规格表/参考架构中的确切数字」。② **两版官方口径并存**：2026-01 CES 发布稿「NVIDIA Rubin is in full production, and Rubin-based products will be available from partners the second half of 2026.」；2026-05-31 GTC Taipei 发布稿把它细化为「set to begin starting this fall」。后者更新更具体，前者不作废——两句不矛盾，是同一承诺的收窄。③ **注意「full production」说的是制造不是出货**：官方原文是平台「ramping into full production」，而客户侧的 production shipments 是「set to begin」（将要开始）。截至本内容包生成时点，NVIDIA 没有发过「已开始出货」的官方声明，因此 sys.vera-rubin-nvl72 的 status 保持 announced，不改 shipping——把「即将出货」讲成「在售」正是本项目要防的那类偏差。","{""id"":""src.nvidia-vera-rubin-fullprod-press"",""url"":""https://nvidianews.nvidia.com/news/vera-rubin-full-production-agentic-ai-factory"",""localFile"":null,""locator"":""Availability 节，「Production shipments of Vera Rubin are set to begin starting this fall.」（同稿正文：「NVIDIA today announced the NVIDIA Vera Rubin platform is ramping into full production to power agentic AI factories worldwide.」）""}","2026-09-12","2026-05","保留厂商宣称、第三方推测或教学观点及证据标签，不作为官方硬件数学输入。"
"sys.rubin-ultra-nvl576:keySpecs.gpuCount","576","576","non-spec","retained","[""sys.rubin-ultra-nvl576""]","NVIDIA Vera Rubin Ultra NVL576","张","NVIDIA Vera Rubin Ultra NVL576 / gpuCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","SemiAnalysis p.3 表①按「逻辑 GPU（封装）」给出同一数字并独立佐证，另给 GPU die 数 1,152（每封装 2 颗 reticle 尺寸 GPU die，见 gpuDieCount）。","{""id"":""src.nvidia-rubin-pod-blog"",""url"":""https://developer.nvidia.com/blog/nvidia-vera-rubin-pod-seven-chips-five-rack-scale-systems-one-ai-supercomputer/"",""localFile"":null,""locator"":""NVIDIA Vera Rubin Ultra NVL576 节，「Vera Rubin Ultra NVL576 will combine eight separate MGX NVL racks, each with 72 Rubin Ultra GPUs, all in a single 576-GPU NVLink domain with copper and direct optical connections.」""}","2026-09-12","2026-03","保留厂商宣称、第三方推测或教学观点及证据标签，不作为官方硬件数学输入。"
"sys.rubin-ultra-nvl576:keySpecs.gpuDieCount","1152","1152","non-spec","retained","[""sys.rubin-ultra-nvl576""]","NVIDIA Vera Rubin Ultra NVL576","颗","NVIDIA Vera Rubin Ultra NVL576 / gpuDieCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.semianalysis-nvl576"",""url"":null,""localFile"":""sources/Rubin Ultra NVL576 架构：快速概览.pdf"",""locator"":""p.3 表①，Vera Rubin Ultra NVL576 列 # of GPU dies = 1,152""}","2026-09-12","2026-08","保留厂商宣称、第三方推测或教学观点及证据标签，不作为官方硬件数学输入。"
"sys.rubin-ultra-nvl576:keySpecs.cpuSocketCount","288","288","non-spec","retained","[""sys.rubin-ultra-nvl576""]","NVIDIA Vera Rubin Ultra NVL576","个","NVIDIA Vera Rubin Ultra NVL576 / cpuSocketCount；适用范围见限定条件与来源位置","not specified / not applicable","not applicable / unspecified","not applicable / unspecified","","{""id"":""src.semianalysis-nvl576"",""url"":null,""localFile"":""sources/Rubin Ultra NVL576 架构：快速概览.pdf"",""locator"":""p.3 表①，# of CPU Sockets = 288（CPU 型号列为 Vera）""}","2026-09-12","2026-08","保留厂商宣称、第三方推测或教学观点及证据标签，不作为官方硬件数学输入。"
